1;Русский колодец;1,2
2;е58;1,2,3,4,5,6
3;Красный десант;5,6,7,8
4;Боцманово;7,8,9,10
5;Александрова коса;9,10,11,12
6;Новобессергеновка;11,12,13,14,15,16
7;Петрушино;13,14
8;Авиатор;15,16,17,18,21,22
9;Галицкого 55;21,22,23,24
10;Рабочий городок;17,18,19,20
11;Поляковское ш.\Сызранова;19,20,35,36,37,38
12;ТЦ Лето;35,36,33,34,29,30,27,28
13;Чехова\Сызранова;25,26,29,30,31,32,59,60
14;Атмосфера;59,60,49,50,47,48,51,52
15;Новый город;50,49
16;Мариупольское ш.\Сызранова;51,52,55,56,57,58
17;Мариупольское ш.\21 аллея;61,62,65,66,57,58
18;Мариупольское ш.\ Петлякова;65,66,67,68,63,64
19;Голден Хорс;67,68,69,70
20;Мариупольское кольцо;69,70,3,4,71,72
21;Дачное-2;71,72,75,76,73,74
22;Сады-1;73,74,77,78
23;Николаевское кольцо;75,76,81,82,83,84,79,80
24;Кладбище-2;79,80,85,86,77,78
25;Николаевка;81,82
26;Мичуринец-2;63,64,61,62
27;Николаевское ш.\Химическая;85,86,87,88,125,126,161,162
28;Николоаевский рынок;125,126,123,124,127,128,163,164
29;КПП;91,92
30;Педагогический лицей;89,90,87,88,123,124
31;Ломоносова\Б.Хмельницкого;91,92,93,94,89,90,121,122
32;Новая Лента;93,94,95,96,99,100,119,120
33;Мариупольское ш.\Пархоменко;53,54,55,56,95,960
34;Шило\Пархоменко;45,46,47,48,53,54,97,98
35;Русское Поле;31,32,43,44,45,46,101,102
36;Школа 35;41,42,43,44,105,106
37;Пархоменко\Чучева;33,34,39,40,41,42
38;Поляковское ш.\Пархоменко;37,38,39,40,109,110
39;С.Шило\Ломоносова;97,98,99,100,103,104,117,118
40;Чехова\Ломоносова;101,102,103,104,107,108,115,116
41;Ломоносова\Энергетическая;105,106,107,108,113,114
42;Лемакс;109,110,111,112,153,154
43;Кольцо Свободы;111,112,113,114,135,136,137,138,165,166
44;Чехова\Транспортная;115,116,133,134,135,136,159,160
45; Транспортная \Шило;117,118,133,134,131,132,167,168
46;Транспортная\2 - я  Советская;119,120,131,132,129,130,169,170
47;Транспортная\Б.Хмельницкого;121,122,127,128,129,130
48;НИИ Связи;163,164,171,172,173,174
